showdate,set,position,songid,slug,trans_mark,gap,isjam,city,state,country,venueid,tourid,showlength,artist,times_played,last_played,debut
1998-07-02,1,7,502,shafty,", ",3,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,7.0,2022-07-30,1998-04-05
1998-07-02,1,8,208,fluffhead,", ",9,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,277.0,2023-10-14,1984-12-01
1998-07-02,1,9,223,ginseng-sullivan,", ",4,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Norman Blake,79.0,2019-06-21,1993-08-11
1998-07-02,1,10,447,punch-you-in-the-eye, > ,6,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,162.0,2023-08-25,1989-08-17
1998-07-02,1,11,113,character-zero,,4,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,242.0,2023-10-14,1996-06-06
1998-07-02,2,12,222,ghost, > ,2,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,209.0,2023-10-13,1997-06-13
1998-07-02,2,13,479,runaway-jim, -> ,10,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,396.0,2023-10-14,1990-03-28
1998-07-02,2,14,442,prince-caspian,", ",3,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,172.0,2023-10-10,1995-06-08
1998-07-02,2,15,690,you-enjoy-myself,,3,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,608.0,2023-10-08,1986-02-03
1998-07-02,e,16,508,simple,,6,0,"Freetown Christiania, Copenhagen",,Denmark,11,40,16,Phish,198.0,2023-10-15,1994-05-27
1998-07-10,1,1,174,down-with-disease,", ",5,0,Barcelona,,Spain,12,40,14,Phish,304.0,2023-10-11,1993-12-31
1998-07-10,1,2,165,dogs-stole-things,", ",11,0,Barcelona,,Spain,12,40,14,Phish,41.0,2022-07-31,1997-06-13
1998-07-10,1,3,161,divided-sky,", ",25,0,Barcelona,,Spain,12,40,14,Phish,433.0,2023-08-05,1987-05-11
1998-07-10,1,4,381,mikes-song,,8,0,Barcelona,,Spain,12,40,14,Phish,528.0,2023-10-10,1985-03-16
1998-07-10,2,5,246,halleys-comet,", ",11,0,Barcelona,,Spain,12,40,14,Phish,150.0,2023-10-13,1986-05-17
1998-07-10,2,6,473,roggae, > ,3,0,Barcelona,,Spain,12,40,14,Phish,106.0,2023-10-11,1998-06-30
1998-07-10,2,7,525,sparkle,", ",9,0,Barcelona,,Spain,12,40,14,Phish,333.0,2023-09-01,1991-09-25
1998-07-10,2,8,381,mikes-song, > ,0,0,Barcelona,,Spain,12,40,14,Phish,528.0,2023-10-10,1985-03-16
1998-07-10,2,9,508,simple, > ,6,0,Barcelona,,Spain,12,40,14,Phish,198.0,2023-10-15,1994-05-27
1998-07-10,2,10,653,weekapaug-groove,", ",8,0,Barcelona,,Spain,12,40,14,Phish,502.0,2023-10-10,1988-07-23
1998-07-10,2,11,483,sample-in-a-jar, > ,5,0,Barcelona,,Spain,12,40,14,Phish,304.0,2023-10-14,1993-02-04
1998-07-10,2,12,235,good-times-bad-times,,15,0,Barcelona,,Spain,12,40,14,Led Zeppelin,228.0,2023-07-28,1986-12-06
1998-07-10,e,13,88,brian-and-robert,", ",6,0,Barcelona,,Spain,12,40,14,Phish,52.0,2023-07-28,1998-06-30
1998-07-10,e,14,558,taste,,4,0,Barcelona,,Spain,12,40,14,Phish,140.0,2023-10-08,1995-06-07
1990-01-20,1,1,105,carolina,", ",320,0,Hanover,NH,USA,15,60,20,Traditional,83.0,2019-12-06,1990-01-20
1990-01-20,1,2,602,the-sloth,", ",19,0,Hanover,NH,USA,15,60,20,Phish,175.0,2021-10-30,1987-08-09
1990-01-20,1,3,48,bathtub-gin,", ",4,0,Hanover,NH,USA,15,60,20,Phish,298.0,2023-10-10,1989-05-26
1990-01-20,1,4,690,you-enjoy-myself,", ",4,0,Hanover,NH,USA,15,60,20,Phish,608.0,2023-10-08,1986-02-03
1990-01-20,1,5,603,the-squirming-coil,", ",320,0,Hanover,NH,USA,15,60,20,Phish,367.0,2023-07-25,1990-01-20
1990-01-20,1,6,103,caravan,", ",320,0,Hanover,NH,USA,15,60,20,Duke Ellington,43.0,1996-12-29,1990-01-20
1990-01-20,1,7,586,the-lizards,", ",4,0,Hanover,NH,USA,15,60,20,Phish,326.0,2023-08-04,1988-01-27
1990-01-20,1,8,478,run-like-an-antelope,,4,0,Hanover,NH,USA,15,60,20,Phish,474.0,2023-10-15,1985-04-06
1990-01-20,2,9,592,the-oh-kee-pa-ceremony, > ,4,0,Hanover,NH,USA,15,60,20,Phish,219.0,2022-07-30,1989-08-12
1990-01-20,2,10,545,suzy-greenberg,", ",5,0,Hanover,NH,USA,15,60,20,Phish,448.0,2023-10-08,1987-02-13
1990-01-20,2,11,84,bouncing-around-the-room,", ",320,0,Hanover,NH,USA,15,60,20,Phish,484.0,2023-10-06,1990-01-20
1990-01-20,2,12,455,reba,", ",10,0,Hanover,NH,USA,15,60,20,Phish,402.0,2023-10-10,1989-10-01
1990-01-20,2,13,562,tela, > ,10,0,Hanover,NH,USA,15,60,20,Phish,91.0,2022-12-28,1988-03-12
1990-01-20,2,14,327,la-grange,", ",5,0,Hanover,NH,USA,15,60,20,ZZ Top,82.0,2012-07-08,1987-08-09
1990-01-20,2,15,329,lawn-boy,", ",5,0,Hanover,NH,USA,15,60,20,Phish,219.0,2023-07-19,1989-11-30
1990-01-20,2,16,187,esther,", ",9,0,Hanover,NH,USA,15,60,20,Phish,134.0,2023-09-01,1988-09-12
1990-01-20,2,17,381,mikes-song, > ,4,0,Hanover,NH,USA,15,60,20,Phish,528.0,2023-10-10,1985-03-16
1990-01-20,2,18,273,i-am-hydrogen, > ,4,0,Hanover,NH,USA,15,60,20,Phish,345.0,2023-07-26,1985-04-06
1990-01-20,2,19,653,weekapaug-groove,,4,0,Hanover,NH,USA,15,60,20,Phish,502.0,2023-10-10,1988-07-23
1990-01-20,e,20,250,harry-hood,,10,0,Hanover,NH,USA,15,60,20,Phish,414.0,2023-10-13,1985-10-30
1994-04-04,1,1,161,divided-sky,", ",3,0,Burlington,VT,USA,16,23,22,Phish,433.0,2023-08-05,1987-05-11
1994-04-04,1,2,483,sample-in-a-jar,", ",2,0,Burlington,VT,USA,16,23,22,Phish,304.0,2023-10-14,1993-02-04
1994-04-04,1,3,490,scent-of-a-mule,", ",821,0,Burlington,VT,USA,16,23,22,Phish,137.0,2022-09-01,1994-04-04
1994-04-04,1,4,364,maze,", ",3,0,Burlington,VT,USA,16,23,22,Phish,333.0,2023-10-06,1992-03-06
1994-04-04,1,5,195,fee, > ,1,0,Burlington,VT,USA,16,23,22,Phish,285.0,2023-02-25,1987-08-09
1994-04-04,1,6,455,reba,", ",1,0,Burlington,VT,USA,16,23,22,Phish,402.0,2023-10-10,1989-10-01
1994-04-04,1,7,269,horn, > ,8,0,Burlington,VT,USA,16,23,22,Phish,175.0,2023-07-29,1990-05-24
1994-04-04,1,8,307,its-ice, > ,1,0,Burlington,VT,USA,16,23,22,Phish,246.0,2023-10-10,1991-09-25
1994-04-04,1,9,440,possum,,1,0,Burlington,VT,USA,16,23,22,Phish,558.0,2023-10-11,1985-09-27
1994-04-04,2,10,174,down-with-disease, > ,1,0,Burlington,VT,USA,16,23,22,Phish,304.0,2023-10-11,1993-12-31
1994-04-04,2,11,297,if-i-could,", ",821,0,Burlington,VT,USA,16,23,22,Phish,65.0,2023-07-14,1994-04-04
1994-04-04,2,12,96,buried-alive,", ",7,0,Burlington,VT,USA,16,23,22,Phish,165.0,2023-10-08,1990-09-13
1994-04-04,2,13,584,the-landlady,", ",9,0,Burlington,VT,USA,16,23,22,Phish,214.0,2022-08-14,1990-09-13
1994-04-04,2,14,318,julius,", ",821,0,Burlington,VT,USA,16,23,22,Phish,233.0,2023-10-06,1994-04-04
1994-04-04,2,15,357,magilla,", ",73,0,Burlington,VT,USA,16,23,22,Phish,71.0,2003-07-22,1990-09-13
1994-04-04,2,16,529,split-open-and-melt,", ",1,0,Burlington,VT,USA,16,23,22,Phish,339.0,2023-10-14,1989-02-17
1994-04-04,2,17,683,wolfmans-brother, > ,821,0,Burlington,VT,USA,16,23,22,Phish,229.0,2023-10-06,1994-04-04
1994-04-04,2,18,286,i-wanna-be-like-you,", ",821,0,Burlington,VT,USA,16,23,22,Louis Prima,9.0,1994-06-10,1994-04-04
1994-04-04,2,19,592,the-oh-kee-pa-ceremony, > ,4,0,Burlington,VT,USA,16,23,22,Phish,219.0,2022-07-30,1989-08-12
1994-04-04,2,20,545,suzy-greenberg,,1,0,Burlington,VT,USA,16,23,22,Phish,448.0,2023-10-08,1987-02-13
1994-04-04,e,21,250,harry-hood,", ",1,0,Burlington,VT,USA,16,23,22,Phish,414.0,2023-10-13,1985-10-30
1994-04-04,e,22,108,cavern,,3,0,Burlington,VT,USA,16,23,22,Phish,472.0,2023-10-14,1990-03-28
1994-04-05,1,1,479,runaway-jim, > ,4,0,"Montréal, Québec",,Canada,17,23,19,Phish,396.0,2023-10-14,1990-03-28
1994-04-05,1,2,209,foam,", ",4,0,"Montréal, Québec",,Canada,17,23,19,Phish,352.0,2023-10-13,1988-10-29
1994-04-05,1,3,208,fluffhead, > ,4,0,"Montréal, Québec",,Canada,17,23,19,Phish,277.0,2023-10-14,1984-12-01
1994-04-05,1,4,227,glide, > ,4,0,"Montréal, Québec",,Canada,17,23,19,Phish,116.0,2021-08-31,1991-09-27
1994-04-05,1,5,318,julius,", ",1,0,"Montréal, Québec",,Canada,17,23,19,Phish,233.0,2023-10-06,1994-04-04
1994-04-05,1,6,84,bouncing-around-the-room,", ",4,0,"Montréal, Québec",,Canada,17,23,19,Phish,484.0,2023-10-06,1990-01-20
1994-04-05,1,7,462,rift,", ",3,0,"Montréal, Québec",,Canada,17,23,19,Phish,305.0,2023-10-13,1990-02-25
1994-04-05,1,8,8,acdc-bag,,8,0,"Montréal, Québec",,Canada,17,23,19,Phish,329.0,2023-10-08,1986-04-01
1994-04-05,2,9,431,peaches-en-regalia, > ,2,0,"Montréal, Québec",,Canada,17,23,19,Frank Zappa,86.0,2022-02-24,1986-10-15
1994-04-05,2,10,686,ya-mar,", ",5,0,"Montréal, Québec",,Canada,17,23,19,Cyril Ferguson,230.0,2023-10-08,1987-02-21
1994-04-05,2,11,627,tweezer,", ",2,0,"Montréal, Québec",,Canada,17,23,19,Phish,395.0,2023-10-15,1990-03-28
1994-04-05,2,12,297,if-i-could,", ",1,0,"Montréal, Québec",,Canada,17,23,19,Phish,65.0,2023-07-14,1994-04-04
1994-04-05,2,13,690,you-enjoy-myself, > ,2,0,"Montréal, Québec",,Canada,17,23,19,Phish,608.0,2023-10-08,1986-02-03
1994-04-05,2,14,286,i-wanna-be-like-you, > ,1,0,"Montréal, Québec",,Canada,17,23,19,Louis Prima,9.0,1994-06-10,1994-04-04
1994-04-05,2,15,696,hold-your-head-up,", ",2,0,"Montréal, Québec",,Canada,17,23,19,Argent,312.0,2023-07-29,1987-08-21
1994-04-05,2,16,110,chalk-dust-torture,", ",4,0,"Montréal, Québec",,Canada,17,23,19,Phish,501.0,2023-10-14,1991-02-01
1994-04-05,2,17,24,amazing-grace,,2,0,"Montréal, Québec",,Canada,17,23,19,Traditional,109.0,1998-10-03,1993-02-03
1994-04-05,e,18,406,nellie-kane,", ",4,0,"Montréal, Québec",,Canada,17,23,19,Hot Rize,73.0,2021-08-06,1993-02-23
1994-04-05,e,19,234,golgi-apparatus,,2,0,"Montréal, Québec",,Canada,17,23,19,Phish,475.0,2023-10-13,1986-10-12
1994-04-06,1,1,345,llama,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,317.0,2023-10-07,1990-10-27
1994-04-06,1,2,239,guelah-papyrus,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,205.0,2022-07-22,1991-02-01
1994-04-06,1,3,438,poor-heart,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,309.0,2023-07-18,1988-08-04
1994-04-06,1,4,538,stash,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,439.0,2023-10-15,1990-09-13
1994-04-06,1,5,586,the-lizards,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,326.0,2023-08-04,1988-01-27
1994-04-06,1,6,483,sample-in-a-jar,", ",2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,304.0,2023-10-14,1993-02-04
1994-04-06,1,7,490,scent-of-a-mule,", ",2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,137.0,2022-09-01,1994-04-04
1994-04-06,1,8,195,fee, -> ,2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,285.0,2023-02-25,1987-08-09
1994-04-06,1,9,478,run-like-an-antelope,,3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,474.0,2023-10-15,1985-04-06
1994-04-06,2,10,575,the-curtain, > ,4,0,"Toronto, Ontario",,Canada,18,23,21,Phish,123.0,2022-07-26,1988-02-24
1994-04-06,2,11,174,down-with-disease,", ",2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,304.0,2023-10-11,1993-12-31
1994-04-06,2,12,683,wolfmans-brother,", ",2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,229.0,2023-10-06,1994-04-04
1994-04-06,2,13,525,sparkle, > ,3,0,"Toronto, Ontario",,Canada,18,23,21,Phish,333.0,2023-09-01,1991-09-25
1994-04-06,2,14,381,mikes-song, -> ,4,0,"Toronto, Ontario",,Canada,18,23,21,Phish,528.0,2023-10-10,1985-03-16
1994-04-06,2,15,338,lifeboy, > ,8,0,"Toronto, Ontario",,Canada,18,23,21,Phish,59.0,2023-10-11,1993-02-03
1994-04-06,2,16,653,weekapaug-groove,", ",4,0,"Toronto, Ontario",,Canada,18,23,21,Phish,502.0,2023-10-10,1988-07-23
1994-04-06,2,17,603,the-squirming-coil,", ",5,0,"Toronto, Ontario",,Canada,18,23,21,Phish,367.0,2023-07-25,1990-01-20
1994-04-06,2,18,108,cavern,,2,0,"Toronto, Ontario",,Canada,18,23,21,Phish,472.0,2023-10-14,1990-03-28
1994-04-06,e,19,223,ginseng-sullivan,", ",3,0,"Toronto, Ontario",,Canada,18,23,21,Norman Blake,79.0,2019-06-21,1993-08-11
1994-04-06,e,20,406,nellie-kane,", ",1,0,"Toronto, Ontario",,Canada,18,23,21,Hot Rize,73.0,2021-08-06,1993-02-23
1994-04-06,e,21,546,sweet-adeline,,5,0,"Toronto, Ontario",,Canada,18,23,21,Artie Shaw,174.0,2016-12-29,1990-03-28
1994-04-08,1,1,364,maze,", ",3,0,State College,PA,USA,19,23,24,Phish,333.0,2023-10-06,1992-03-06
1994-04-08,1,2,227,glide,", ",2,0,State College,PA,USA,19,23,24,Phish,116.0,2021-08-31,1991-09-27
1994-04-08,1,3,209,foam,", ",2,0,State College,PA,USA,19,23,24,Phish,352.0,2023-10-13,1988-10-29
1994-04-08,1,4,276,i-didnt-know,", ",4,0,State College,PA,USA,19,23,24,Phish,262.0,2023-07-23,1987-11-18
1994-04-08,1,5,447,punch-you-in-the-eye,", ",5,0,State College,PA,USA,19,23,24,Phish,162.0,2023-08-25,1989-08-17
1994-04-08,1,6,582,the-horse, > ,5,0,State College,PA,USA,19,23,24,Phish,170.0,2022-07-23,1992-03-07
1994-04-08,1,7,507,silent-in-the-morning, > ,5,0,State College,PA,USA,19,23,24,Phish,185.0,2022-07-23,1992-03-07
1994-04-08,1,8,174,down-with-disease,", ",1,0,State College,PA,USA,19,23,24,Phish,304.0,2023-10-11,1993-12-31
1994-04-08,1,9,297,if-i-could,", ",2,0,State College,PA,USA,19,23,24,Phish,65.0,2023-07-14,1994-04-04
1994-04-08,1,10,329,lawn-boy,", ",4,0,State College,PA,USA,19,23,24,Phish,219.0,2023-07-19,1989-11-30
1994-04-08,1,11,345,llama,,1,0,State College,PA,USA,19,23,24,Phish,317.0,2023-10-07,1990-10-27
1994-04-08,2,12,529,split-open-and-melt,", ",3,0,State College,PA,USA,19,23,24,Phish,339.0,2023-10-14,1989-02-17
1994-04-08,2,13,365,mcgrupp-and-the-watchful-hosemasters,", ",5,0,State College,PA,USA,19,23,24,Phish,117.0,2023-07-23,1985-04-06
1994-04-08,2,14,307,its-ice, -> ,3,0,State College,PA,USA,19,23,24,Phish,246.0,2023-10-10,1991-09-25
1994-04-08,2,15,157,digital-delay-loop-jam, -> ,824,0,State College,PA,USA,19,23,24,Phish,10.0,1997-08-17,1994-04-08
1994-04-08,2,16,307,its-ice, > ,0,0,State College,PA,USA,19,23,24,Phish,246.0,2023-10-10,1991-09-25
1994-04-08,2,17,525,sparkle, > ,1,0,State College,PA,USA,19,23,24,Phish,333.0,2023-09-01,1991-09-25
1994-04-08,2,18,250,harry-hood,", ",3,0,State College,PA,USA,19,23,24,Phish,414.0,2023-10-13,1985-10-30
1994-04-08,2,19,84,bouncing-around-the-room,", ",2,0,State College,PA,USA,19,23,24,Phish,484.0,2023-10-06,1990-01-20
1994-04-08,2,20,56,big-ball-jam, -> ,6,0,State College,PA,USA,19,23,24,Phish,102.0,1994-12-09,1992-11-19
1994-04-08,2,21,148,david-bowie,", ",5,0,State College,PA,USA,19,23,24,Phish,468.0,2023-10-15,1986-10-31
1994-04-08,2,22,545,suzy-greenberg,,3,0,State College,PA,USA,19,23,24,Phish,448.0,2023-10-08,1987-02-13
1994-04-08,e,23,130,contact, > ,6,0,State College,PA,USA,19,23,24,Phish,172.0,2022-06-03,1988-06-15
1994-04-08,e,24,58,big-black-furry-creature-from-mars,,6,0,State College,PA,USA,19,23,24,Phish,132.0,2023-07-15,1987-08-21
1990-01-27,1,1,105,carolina,", ",1,0,Burlington,VT,USA,21,60,21,Traditional,83.0,2019-12-06,1990-01-20
1990-01-27,1,2,48,bathtub-gin,", ",3,0,Burlington,VT,USA,21,60,21,Phish,298.0,2023-10-10,1989-05-26
1990-01-27,1,3,686,ya-mar,", ",7,0,Burlington,VT,USA,21,60,21,Cyril Ferguson,230.0,2023-10-08,1987-02-21
1990-01-27,1,4,592,the-oh-kee-pa-ceremony, > ,2,0,Burlington,VT,USA,21,60,21,Phish,219.0,2022-07-30,1989-08-12
1990-01-27,1,5,8,acdc-bag,", ",1,0,Burlington,VT,USA,21,60,21,Phish,329.0,2023-10-08,1986-04-01
1990-01-27,1,6,403,my-sweet-one,", ",1,0,Burlington,VT,USA,21,60,21,Phish,251.0,2022-08-10,1989-09-09
1990-01-27,1,7,84,bouncing-around-the-room,", ",2,0,Burlington,VT,USA,21,60,21,Phish,484.0,2023-10-06,1990-01-20
1990-01-27,1,8,679,wilson,", ",21,0,Burlington,VT,USA,21,60,21,Phish,294.0,2023-10-10,1986-10-12
1990-01-27,1,9,455,reba,", ",1,0,Burlington,VT,USA,21,60,21,Phish,402.0,2023-10-10,1989-10-01
1990-01-27,1,10,220,funky-bitch,", ",11,0,Burlington,VT,USA,21,60,21,Son Seals,229.0,2023-10-11,1986-12-06
1990-01-27,1,11,381,mikes-song, > ,2,0,Burlington,VT,USA,21,60,21,Phish,528.0,2023-10-10,1985-03-16
1990-01-27,1,12,273,i-am-hydrogen, > ,2,0,Burlington,VT,USA,21,60,21,Phish,345.0,2023-07-26,1985-04-06
1990-01-27,1,13,653,weekapaug-groove,,2,0,Burlington,VT,USA,21,60,21,Phish,502.0,2023-10-10,1988-07-23
1990-01-27,2,14,129,communication-breakdown,", ",1,0,Burlington,VT,USA,21,60,21,Led Zeppelin,7.0,1990-10-20,1990-01-25
1990-01-27,2,15,103,caravan,", ",1,0,Burlington,VT,USA,21,60,21,Duke Ellington,43.0,1996-12-29,1990-01-20
1990-01-27,2,16,690,you-enjoy-myself,", ",2,0,Burlington,VT,USA,21,60,21,Phish,608.0,2023-10-08,1986-02-03
1990-01-27,2,17,603,the-squirming-coil, > ,1,0,Burlington,VT,USA,21,60,21,Phish,367.0,2023-07-25,1990-01-20
1990-01-27,2,18,478,run-like-an-antelope,", ",1,0,Burlington,VT,USA,21,60,21,Phish,474.0,2023-10-15,1985-04-06
1990-01-27,2,19,565,terrapin,", ",79,0,Burlington,VT,USA,21,60,21,Syd Barrett,66.0,2019-12-04,1987-09-21
1990-01-27,2,20,161,divided-sky,,1,0,Burlington,VT,USA,21,60,21,Phish,433.0,2023-08-05,1987-05-11
1990-01-27,e,21,327,la-grange,,2,0,Burlington,VT,USA,21,60,21,ZZ Top,82.0,2012-07-08,1987-08-09
1994-04-09,1,1,357,magilla,", ",4,0,Binghamton,NY,USA,22,23,23,Phish,71.0,2003-07-22,1990-09-13
1994-04-09,1,2,679,wilson, > ,7,0,Binghamton,NY,USA,22,23,23,Phish,294.0,2023-10-10,1986-10-12
1994-04-09,1,3,462,rift,", ",3,0,Binghamton,NY,USA,22,23,23,Phish,305.0,2023-10-13,1990-02-25
1994-04-09,1,4,48,bathtub-gin, > ,6,0,Binghamton,NY,USA,22,23,23,Phish,298.0,2023-10-10,1989-05-26
1994-04-09,1,5,406,nellie-kane, > ,2,0,Binghamton,NY,USA,22,23,23,Hot Rize,73.0,2021-08-06,1993-02-23
1994-04-09,1,6,318,julius,", ",3,0,Binghamton,NY,USA,22,23,23,Phish,233.0,2023-10-06,1994-04-04
1994-04-09,1,7,195,fee, -> ,2,0,Binghamton,NY,USA,22,23,23,Phish,285.0,2023-02-25,1987-08-09
1994-04-09,1,8,18,all-things-reconsidered,", ",12,0,Binghamton,NY,USA,22,23,23,Phish,81.0,1997-02-23,1991-09-25
1994-04-09,1,9,538,stash,", ",2,0,Binghamton,NY,USA,22,23,23,Phish,439.0,2023-10-15,1990-09-13
1994-04-09,1,10,603,the-squirming-coil,,2,0,Binghamton,NY,USA,22,23,23,Phish,367.0,2023-07-25,1990-01-20
1994-04-09,2,11,483,sample-in-a-jar,", ",2,0,Binghamton,NY,USA,22,23,23,Phish,304.0,2023-10-14,1993-02-04
1994-04-09,2,12,455,reba,", ",4,0,Binghamton,NY,USA,22,23,23,Phish,402.0,2023-10-10,1989-10-01
1994-04-09,2,13,431,peaches-en-regalia, > ,3,0,Binghamton,NY,USA,22,23,23,Frank Zappa,86.0,2022-02-24,1986-10-15
1994-04-09,2,14,56,big-ball-jam,", ",1,0,Binghamton,NY,USA,22,23,23,Phish,102.0,1994-12-09,1992-11-19
1994-04-09,2,15,153,demand, > ,825,0,Binghamton,NY,USA,22,23,23,Phish,16.0,2016-07-20,1994-04-09
1994-04-09,2,16,381,mikes-song, > ,2,0,Binghamton,NY,USA,22,23,23,Phish,528.0,2023-10-10,1985-03-16
1994-04-09,2,17,273,i-am-hydrogen, > ,44,0,Binghamton,NY,USA,22,23,23,Phish,345.0,2023-07-26,1985-04-06
1994-04-09,2,18,653,weekapaug-groove,", ",2,0,Binghamton,NY,USA,22,23,23,Phish,502.0,2023-10-10,1988-07-23
1994-04-09,2,19,562,tela, > ,22,0,Binghamton,NY,USA,22,23,23,Phish,91.0,2022-12-28,1988-03-12
1994-04-09,2,20,512,slave-to-the-traffic-light,", ",6,0,Binghamton,NY,USA,22,23,23,Phish,278.0,2023-10-10,1984-12-01
1994-04-09,2,21,108,cavern,,2,0,Binghamton,NY,USA,22,23,23,Phish,472.0,2023-10-14,1990-03-28
1994-04-09,e,22,24,amazing-grace,", ",3,0,Binghamton,NY,USA,22,23,23,Traditional,109.0,1998-10-03,1993-02-03
1994-04-09,e,23,262,highway-to-hell,,8,0,Binghamton,NY,USA,22,23,23,AC/DC,77.0,2009-08-16,1989-10-01
1990-01-28,1,1,545,suzy-greenberg,", ",3,0,Burlington,VT,USA,21,60,21,Phish,448.0,2023-10-08,1987-02-13
1990-01-28,1,2,529,split-open-and-melt,", ",2,0,Burlington,VT,USA,21,60,21,Phish,339.0,2023-10-14,1989-02-17
1990-01-28,1,3,562,tela, > ,2,0,Burlington,VT,USA,21,60,21,Phish,91.0,2022-12-28,1988-03-12
1990-01-28,1,4,208,fluffhead,", ",3,0,Burlington,VT,USA,21,60,21,Phish,277.0,2023-10-14,1984-12-01
1990-01-28,1,5,327,la-grange,", ",1,0,Burlington,VT,USA,21,60,21,ZZ Top,82.0,2012-07-08,1987-08-09
1990-01-28,1,6,105,carolina,", ",1,0,Burlington,VT,USA,21,60,21,Traditional,83.0,2019-12-06,1990-01-20
1990-01-28,1,7,126,colonel-forbins-ascent, > ,21,0,Burlington,VT,USA,21,60,21,Phish,127.0,2021-08-31,1988-03-12
1990-01-28,1,8,695,fly-famous-mockingbird, > ,21,0,Burlington,VT,USA,21,60,21,Phish,127.0,2021-08-31,1988-02-07
